experiment,mae,mse,kappa,accuracy
lab_only,4.772618770599365,41.901145935058594,0.0,0.1316225165562914
chart_only,2.949401378631592,16.56005096435547,-0.002035372677140934,0.15645371577574968
lab_plus_chart,1.1426984071731567,2.7806568145751953,-0.07207258780089876,0.27312775330396477
